,date,annee,mois,ia générative,ia générale,cv,total_offers
0,2019-01-01,2019,1,0.00023905201532801524,0.021634207387185377,0.004781040306560305,836638.0
1,2019-02-01,2019,2,0.00021528919259017657,0.020990696277542215,0.005705163603639679,928983.0
2,2019-03-01,2019,3,0.00040686296448493183,0.05099349154877813,0.013223046345760284,1474698.0
3,2019-04-01,2019,4,8.964742563970162e-05,0.03433496402000572,0.006364967220418814,1115481.0
4,2019-05-01,2019,5,0.00016052781545722336,0.04053327340294889,0.009952724558347848,1245890.0
5,2019-06-01,2019,6,0.0002957341822875926,0.04495159570771408,0.009463493833202963,1352566.0
6,2019-07-01,2019,7,0.00013622734709501993,0.037871202492415545,0.007901186131511157,1468134.0
7,2019-08-01,2019,8,0.0001395379340850707,0.028256431652226816,0.004744289758892403,1433302.0
8,2019-09-01,2019,9,0.00011466173926952445,0.03135998569021494,0.008714292184483859,1744261.0
9,2019-10-01,2019,10,0.0005250870856931622,0.05424149595210366,0.009609093668184868,1904446.0
10,2019-11-01,2019,11,0.00011680059801906186,0.06447393010652214,0.010979256213791814,1712320.0
11,2019-12-01,2019,12,0.0008820250353986047,0.0736196896212702,0.009643473720358078,1700632.0
12,2020-01-01,2020,1,0.0005029766156111871,0.07514470637231134,0.010964890220323877,1988164.0
13,2020-02-01,2020,2,0.00084553804874245,0.04810172010623716,0.012542147723013007,2128822.0
14,2020-03-01,2020,3,0.0013752922496030407,0.05844992060812923,0.009877098883512746,1599660.0
15,2020-04-01,2020,4,0.0008831137176703106,0.07091403152892595,0.009449316779072325,1132357.0
16,2020-05-01,2020,5,0.0011449039507364185,0.045305484907712565,0.006951202558042541,1222810.0
17,2020-06-01,2020,6,0.0010121650998725796,0.03424491921235561,0.009221948687727948,1778366.0
18,2020-07-01,2020,7,0.0006435123763517782,0.03812810829884286,0.010135319927540506,1864766.0
19,2020-08-01,2020,8,0.0005396560879682596,0.03880127272491787,0.010739156150568365,1853032.0
20,2020-09-01,2020,9,0.000825707848918062,0.050802761862379704,0.011038410190799356,2301056.0
21,2020-10-01,2020,10,0.0005515570029919846,0.06389575742353298,0.012728238530584258,2356964.0
22,2020-11-01,2020,11,0.0007120279596948358,0.07043599662827375,0.016979128269646083,1825771.0
23,2020-12-01,2020,12,0.0009699570357531013,0.06101029754887007,0.012948926427303902,2061947.0
24,2021-01-01,2021,1,0.0,0.04966289429328197,0.010233566096797497,2325680.0
25,2021-02-01,2021,2,0.0006885739332591108,0.05164304499443331,0.007746456749164996,2323643.0
26,2021-03-01,2021,3,0.0009544600592931799,0.04716623459673797,0.006442605400228964,3771766.0
27,2021-04-01,2021,4,0.0005686023470009543,0.04861550066858159,0.00796043285801336,4220876.0
28,2021-05-01,2021,5,0.0007918003023745626,0.05377255582890779,0.006054943488746654,4294012.0
29,2021-06-01,2021,6,0.0006966445895642205,0.0762172721270105,0.010057806261833432,4593447.0
30,2021-07-01,2021,7,0.0006106858508101446,0.05635757994619335,0.007240989373891715,5731261.0
31,2021-08-01,2021,8,0.0005482910377565393,0.05574292217191483,0.005097075943588569,4924392.0
32,2021-09-01,2021,9,0.0006092064290908254,0.05227329609615443,0.005770538675554763,5909327.0
33,2021-10-01,2021,10,0.0009663190348066421,0.07232135092079185,0.009103742485809944,5898673.0
34,2021-11-01,2021,11,0.0010569868593044791,0.06588551422997921,0.010264516833690165,4257385.0
35,2021-12-01,2021,12,0.000973299636353219,0.06407249870257321,0.010155371677421322,5445394.0
36,2022-01-01,2022,1,0.00039168093201261134,0.0702871432496631,0.009282838088698888,5106197.0
37,2022-02-01,2022,2,0.00090826403495,0.05938934628530204,0.009082640349500001,5394907.0
38,2022-03-01,2022,3,0.0007420746428147385,0.054715636996873394,0.006282898642498119,6064080.0
39,2022-04-01,2022,4,0.001301465021500716,0.06267581550911341,0.006199083391884989,5839573.0
40,2022-05-01,2022,5,0.00042913067780117733,0.05466052008492496,0.005507177031781775,5592702.0
41,2022-06-01,2022,6,0.0005601755987870572,0.04179632774175688,0.00502351020847748,5533979.0
42,2022-07-01,2022,7,0.0005879531754091104,0.03893089954316038,0.006110513358716111,4762284.0
43,2022-08-01,2022,8,0.0005310171357105625,0.03787214211887732,0.0050977645028214,4707946.0
44,2022-09-01,2022,9,0.000531995423952695,0.04451028380404214,0.006184446803450079,4511317.0
45,2022-10-01,2022,10,0.0012653660417274223,0.0615481951233979,0.00828419330443422,5057825.0
46,2022-11-01,2022,11,0.0007985879238829157,0.054692481057278614,0.007057790570532797,4633178.0
47,2022-12-01,2022,12,0.0010593112704017406,0.0654394941940014,0.007026044140419708,4625647.0
48,2023-01-01,2023,1,0.0012175549782440964,0.05079909937007313,0.00678674163799024,4435118.0
49,2023-02-01,2023,2,0.0008881544490137959,0.059010026480063676,0.008672566972722949,3828163.0
50,2023-03-01,2023,3,0.0009707158150869576,0.04622456262318846,0.005754958046586964,4326704.0
51,2023-04-01,2023,4,0.0014476750622358348,0.0437141097224154,0.005762314463409303,3522890.0
52,2023-05-01,2023,5,0.001112479342980295,0.04320128115240146,0.004953181836602742,3775351.0
53,2023-06-01,2023,6,0.002220830008565741,0.04352826816788853,0.004597118117731084,4502821.0
54,2023-07-01,2023,7,0.0021202793017116015,0.039310465674262225,0.005337254793963687,4103233.0
55,2023-08-01,2023,8,0.0021451235526554176,0.03153073173782662,0.005065592967716408,3869241.0
56,2023-09-01,2023,9,0.002842398331838356,0.030683922975664878,0.006197360297286908,4292150.0
57,2023-10-01,2023,10,0.007474123838518496,0.041573151457666935,0.011038296772189237,3759638.0
