date,"A - Agriculture, sylviculture et pêche",Administration/Armée,Autres services non financiers,Consulting,H - Transports et entreposage,IT Consulting,IT producers,K - Activités financières et d'assurance,Recherche,"industrie manufacturière, énergétique et minière"
2019-01-01,0.017975090049038755,0.01229006639760448,0.5225708458100073,0.10208450867219257,0.044921812842656485,0.023819236499877043,0.04347524193898364,0.12019557638617658,0.0023347654385279695,0.11033285596493513
2019-02-01,0.01590301904162378,0.012451522780016457,0.5394129741006475,0.10442812853919854,0.044781969356765323,0.023671868612555068,0.04288562928655475,0.10211110923224559,0.002665405171106658,0.11168837387928632
2019-03-01,0.014905494325779567,0.012456689699394388,0.5224851573532017,0.11272613823316051,0.04440697742824046,0.032051767986407936,0.0527294030382733,0.09331173813068606,0.002781705027713329,0.11214492877714273
2019-04-01,0.014788832782771363,0.012397130241910982,0.520236016467837,0.11508237027400522,0.044013627298150004,0.03374731011982667,0.055252383529632756,0.08863607323190006,0.0027997535655237865,0.11304650248844211
2019-05-01,0.013608553551483632,0.012161629564756195,0.5125151664473518,0.12066336080376724,0.04398201901339714,0.04006795232350871,0.0603262730398664,0.07764394920458227,0.002841758327691493,0.11618933772359505
2019-06-01,0.013605271013544355,0.011456467067648577,0.49808566662476444,0.12479013023500922,0.044854571211274494,0.04452194151047111,0.06498556562543088,0.07712591642717863,0.0027404573150100796,0.11783401296966822
2019-07-01,0.013230006396369289,0.011437014613040027,0.5024927195298468,0.1235410996570751,0.04615748882362668,0.04261123752699818,0.06129910429774374,0.07791869229840169,0.0026870753169663253,0.1186255615399322
2019-08-01,0.013246609074868007,0.011430415319281727,0.5062228881364246,0.12065713818701154,0.04774212248912607,0.042129867821641354,0.059305474371767905,0.07794141564228922,0.002912192294931359,0.11841187666265819
2019-09-01,0.01331555397155959,0.012519409842119801,0.5140971078252669,0.11936994039100182,0.048385794094184406,0.039663373410810124,0.057078396180977924,0.07748710723851066,0.00318663364039594,0.11489668340517292
2019-10-01,0.012475410621300965,0.013112247316865163,0.5145204908750989,0.11850582656426736,0.047160240604484586,0.04181456090548608,0.05508829836182818,0.07805261613375294,0.0031575059665973197,0.11611280265031858
2019-11-01,0.012812344795309996,0.013204987927022552,0.5088002985924086,0.11879123958676663,0.045619933327591344,0.045168312282038985,0.05530908040911035,0.0801669256265627,0.0032644589435178806,0.11686241850967094
2019-12-01,0.011771017093694049,0.012911059032589189,0.500813567639504,0.12159494710562874,0.04390402487825114,0.04896679498611678,0.05585300855511052,0.0836947949271702,0.0029693076983701126,0.1175214780835652
2020-01-01,0.011328850431973592,0.012454035237761604,0.4914649854825644,0.12508625499088546,0.04265653264808404,0.051184223590795365,0.05650091922106299,0.08820541048427256,0.0028820226555347325,0.1182367652570652
2020-02-01,0.011149741007748244,0.01240058873348852,0.49365561016938353,0.12465495989367814,0.043629820863767224,0.05024297164290187,0.0571777134629262,0.08770700881266591,0.003696772045346506,0.11568481336809386
2020-03-01,0.010013428560295305,0.012258180558385049,0.49149855061492415,0.12861166094036464,0.043212633596944064,0.04948078094762222,0.058184985060719493,0.08847898402032213,0.004411255420116368,0.11384954028030661
2020-04-01,0.009074080285512126,0.012690540830890452,0.48926448773503417,0.13485010659907645,0.042693091349651414,0.04868486591165837,0.05889389688452852,0.0874511204747364,0.005098956344915701,0.11129885358399635
2020-05-01,0.00821948081945178,0.013556284260325974,0.49763159570001425,0.13450449945644918,0.042909884189927715,0.0457458529869968,0.05774795674969453,0.08454622144293661,0.005414245210458014,0.10972397918374517
2020-06-01,0.007872460113762407,0.01384848814239093,0.5095354411526691,0.13394719246421985,0.042254043667739924,0.041241498099512074,0.05666608766604562,0.0835452502486875,0.005374746429062695,0.10571479201590989
2020-07-01,0.007954727822167856,0.014052385295754068,0.53121476740812,0.12561826356145142,0.04144325266406566,0.03563746637715481,0.05396627865108141,0.0825274266305761,0.005253742226089809,0.10233168936353887
2020-08-01,0.00813690610347351,0.014962540002674673,0.5472131177712293,0.11473151974222595,0.04080778424542589,0.032161377730948015,0.05160282733311304,0.08549989418227767,0.005353265981822184,0.09953076690680981
2020-09-01,0.007943362150749995,0.01900209439041254,0.5485693263985767,0.1101339602076434,0.03968148096467142,0.03224535690354627,0.05270691244291848,0.08710327268399107,0.0054289951833574315,0.09718523867413267
2020-10-01,0.0075088887487817805,0.020672709108658923,0.537946931107878,0.11148266185661791,0.03813044964763311,0.035358916709980044,0.05653669012918519,0.09108063678546857,0.005069798117221674,0.09621231778857486
2020-11-01,0.007055073275847223,0.021843804532850567,0.5157842533559596,0.1153854433588242,0.03769401177292127,0.040038290560811624,0.061990659556903416,0.09534861512468244,0.004728250673130074,0.10013159778806968
2020-12-01,0.006767440128264737,0.021175306344530805,0.5081614689201593,0.12231952253230917,0.03671383390932315,0.03985895151753547,0.06441505569968431,0.0940854193315555,0.004818074680370172,0.10168492693626732
2021-01-01,0.006351373508152265,0.01799279597957152,0.5107356488454111,0.12442535792282154,0.03591435316490024,0.038698007662370554,0.06470275830345328,0.09475142110150872,0.004463343448761772,0.10196494006304901
2021-02-01,0.006366639059223684,0.019115728189713722,0.5123746974709706,0.1256252173725618,0.03526218322889284,0.036764806593773146,0.06426885464669901,0.09269876093667861,0.004443204193005272,0.10307990830848121
2021-03-01,0.006298692845197223,0.01823465817512309,0.5280944787218813,0.1267831221706911,0.03454244858771023,0.0338799886823432,0.06124263035972573,0.08726210634501248,0.004478802426650515,0.09918307168566518
