zone,ia,ia_rel,gen,gen_rel,total_offers
Alençon,4.0,2.0611332110394293e-05,0.0,0.0,194068.0
Arles,26.0,0.00016207455429497568,0.0,0.0,160420.0
Avignon,41.0,9.093147093852367e-05,0.0,0.0,450889.0
Beauvais,99.0,0.00025943668172622353,0.0,0.0,381596.0
Bollène-Pierrelatte,121.0,0.0008326451968070465,0.0,0.0,145320.0
Cosne-Cours-sur-Loire,0.0,0.0,0.0,0.0,86766.0
Dreux,6.0,4.325883201153569e-05,0.0,0.0,138700.0
La Vallée de la Bresle-Vimeu,49.0,0.0004586082643081099,0.0,0.0,106845.0
Mâcon,35.0,0.0001179074460236556,0.0,0.0,296843.0
Nevers,0.0,0.0,0.0,0.0,178205.0
Nogent-le-Rotrou,1.0,1.1750605156165543e-05,0.0,0.0,85102.0
Redon,14.0,9.040890656885284e-05,0.0,0.0,154852.0
Ussel,0.0,0.0,0.0,0.0,99239.0
Valréas,3.0,3.77610230719851e-05,0.0,0.0,79447.0
Cergy-Vexin,559.0,0.0006087978366439666,0.0,0.0,918203.0
Coulommiers,0.0,0.0,0.0,0.0,56170.0
Etampes,23.0,0.00019979846415789292,0.0,0.0,115116.0
Evry,360.0,0.00048562745090104125,11.0,1.4838616555309594e-05,741309.0
Fontainebleau-Nemours,49.0,0.00026369463085442444,1.0,5.381523078661723e-06,185821.0
Marne-la-Vallée,113.0,0.00015291244071259904,2.0,2.7064148798690096e-06,738985.0
Meaux,9.0,3.9858987758861985e-05,0.0,0.0,225796.0
Melun,136.0,0.0003469396605603586,12.0,3.061232299061988e-05,391999.0
Paris,18619.0,0.00265876097368999,484.0,6.911436227863769e-05,7002886.0
Provins,0.0,0.0,0.0,0.0,109664.0
Rambouillet,120.0,0.0011675991243006569,14.0,0.00013621989783507664,102775.0
Roissy,362.0,0.0004082663791508962,1.0,1.1278076772124202e-06,886676.0
Saclay,7179.0,0.008375850389741304,96.0,0.00011200468552934464,857107.0
Seine-Yvelinoise,1133.0,0.0013091772981954615,40.0,4.6219851657386106e-05,865429.0
Versailles-Saint-Quentin,4587.0,0.0035772525109785858,101.0,7.876662385193746e-05,1282269.0
Blois,27.0,6.807094505162046e-05,0.0,0.0,396645.0
Bourges,81.0,0.00022418111620054523,0.0,0.0,361315.0
Chartres,63.0,0.00016158569427986643,1.0,2.5648522901566098e-06,389886.0
Châteaudun,0.0,0.0,0.0,0.0,100380.0
Châteauroux,3.0,9.313212654793355e-06,0.0,0.0,322123.0
Chinon,26.0,0.00028006980201219383,0.0,0.0,92834.0
Gien,60.0,0.0004459673403251102,0.0,0.0,134539.0
Loches,4.0,4.519825082769297e-05,0.0,0.0,88499.0
Montargis,11.0,7.539048846182842e-05,0.0,0.0,145907.0
Orléans,186.0,0.0001811213162261329,0.0,0.0,1026936.0
Pithiviers,0.0,0.0,0.0,0.0,116084.0
Romorantin-Lanthenay,8.0,5.4791518272971344e-05,0.0,0.0,146008.0
Tours,451.0,0.0005172747990828981,0.0,0.0,871877.0
Vendôme,61.0,0.00047838259628430043,0.0,0.0,127513.0
Vierzon,0.0,0.0,0.0,0.0,85914.0
Autun,0.0,0.0,0.0,0.0,47605.0
Auxerre,3.0,1.0649589458326382e-05,0.0,0.0,281701.0
Avallon,1.0,1.4358326393475577e-05,0.0,0.0,69646.0
Beaune,9.0,4.0313730408646846e-05,1.0,4.479303378738539e-06,223249.0
Belfort,193.0,0.0007433970549150872,0.0,0.0,259619.0
Besançon,106.0,0.00017219560771241385,6.0,9.746921191268709e-06,615579.0
Chalon-sur-Saône,86.0,0.0002642072859767375,0.0,0.0,325502.0
Charolais,4.0,3.6148062463851935e-05,0.0,0.0,110656.0
Châtillon-Montbard,16.0,0.00023745213855332284,0.0,0.0,67382.0
Creusot-Montceau,2.0,1.3578746545906348e-05,0.0,0.0,147289.0
Dijon,331.0,0.0003512633275779916,2.0,2.1224370246404326e-06,942313.0
Dole,20.0,0.00012077513481524424,0.0,0.0,165597.0
Lons-le-Saunier,0.0,0.0,0.0,0.0,269325.0
Montbéliard,91.0,0.0003571092204815873,0.0,0.0,254824.0
Pontarlier,39.0,0.0001476814019887762,0.0,0.0,264082.0
Saint-Claude,6.0,6.751282743721307e-05,0.0,0.0,88872.0
Sens,16.0,9.899336125771065e-05,0.0,0.0,161627.0
Vesoul,37.0,0.00016730801405387318,0.0,0.0,221149.0
Argentan,0.0,0.0,0.0,0.0,43794.0
Avranches,2.0,1.227197143085051e-05,0.0,0.0,162973.0
Bernay,17.0,0.00020075341576032403,2.0,2.3618048912979298e-05,84681.0
Caen,338.0,0.0003532760078556878,90.0,9.406757605624823e-05,956759.0
Cherbourg en Cotentin,25.0,0.00010422138289268532,0.0,0.0,239874.0
Coutances,0.0,0.0,0.0,0.0,115459.0
Dieppe-Caux maritime,38.0,0.00022795167424506004,0.0,0.0,166702.0
Evreux,18.0,5.8044107072029515e-05,0.0,0.0,310109.0
Flers,20.0,0.00017723740063628227,0.0,0.0,112843.0
Granville,0.0,0.0,0.0,0.0,76607.0
Honfleur Pont-Audemer,5.0,2.2899959238072558e-05,1.0,4.579991847614511e-06,218341.0
L'Aigle,0.0,0.0,0.0,0.0,50755.0
Le Havre,27.0,6.836775776543782e-05,11.0,2.7853530941474667e-05,394923.0
Lisieux,6.0,4.554010565304512e-05,0.0,0.0,131752.0
Rouen,408.0,0.0004009319702956578,15.0,1.4740145966752126e-05,1017629.0
Saint-Lô,3.0,1.3826541428926969e-05,0.0,0.0,216974.0
Vernon-Gisors,34.0,0.00015613519470977224,3.0,1.3776634827332844e-05,217760.0
Vire Normandie,0.0,0.0,0.0,0.0,60335.0
Yvetot-Vallée du Commerce,0.0,0.0,0.0,0.0,170468.0
Abbeville,4.0,4.352036208941258e-05,0.0,0.0,91911.0
Amiens,56.0,0.00014285714285714287,0.0,0.0,392000.0
Arras,36.0,0.00010994884324654502,0.0,0.0,327425.0
Berck,14.0,0.00010227787437354802,0.0,0.0,136882.0
Béthune,28.0,0.00011838672715664679,0.0,0.0,236513.0
Boulogne-sur-Mer,12.0,7.343581709585822e-05,0.0,0.0,163408.0
Calais,26.0,0.00022234194480788802,0.0,0.0,116937.0
Cambrai,3.0,1.881797995257869e-05,0.0,0.0,159422.0
Château-Thierry,1.0,0.0,1.0,0.0,3456.0
Compiègne,203.0,0.0006576538926307127,2.0,6.4793486958690915e-06,308673.0
Creil,152.0,0.00038596999083321274,4.0,1.015710502192665e-05,393813.0
Douai,48.0,0.00021056972270599642,0.0,0.0,227953.0
Dunkerque,77.0,0.0003074429134408452,0.0,0.0,250453.0
Laon,0.0,0.0,0.0,0.0,6559.0
Lens,61.0,0.000147299943736251,0.0,0.0,414121.0
