,index,Industrie,Services
0,0,0,2
1,1,2,2
2,2,2,3
3,3,2,6
4,4,2,7
5,5,2,11
6,6,3,13
7,7,4,19
8,8,5,22
9,9,7,29
10,10,8,37
11,11,9,43
12,12,12,48
13,13,15,54
14,14,19,57
15,15,22,65
16,16,26,76
17,17,28,92
18,18,32,109
19,19,36,138
20,20,40,173
21,21,46,199
22,22,53,242
23,23,60,266
24,24,60,287
