date,Autres,C1105 - Actuariat,D1407 - Relation technico-commerciale,E1103 - Communication,E1205 - Designer UX/UI,E1402 - Élaboration de plan média,"H1206 - Management et ingénierie études, recherche et développement industriel",H1208 - Ingénieurie en automatisme,J1102 - Médecine généraliste et spécialisée,K1903 - Juriste,K2108 - Enseignement supérieur,K2111 - Formation professionnelle,K2402 - Biostatisticien,K2402 - Recherche en sciences naturelles,M1201 - Analyse et ingénierie financière,M1202 - Audit et contrôle comptables et financiers,M1203 - Comptabilité,M1204 - Chargé de recrutement,M1204 - Contrôle de gestion,M1205 - Direction administrative et financière,M1402 - Coach transformation numérique/agile,M1403 - Autres,M1403 - Chef de projet data,M1403 - Data engineer,M1403 - Data scientist,M1607 - Secrétariat,M1703 - Management et gestion de produit,M1704 - Relation client,M1705 - Marketing,M1707 - Stratégie commerciale,M1801 - Administration de systèmes d'information,M1802 - Expertise et support en systèmes d'information,M1803 - Direction des systèmes d'information,M1805 - Autres,M1805 - Chef de projet ia,M1805 - Développeur web/application,M1805 - Ingénieur ia/ml/cv/genai,M1806 - Conseil IA,M1806 - Conseil numérique,N1301 - Logisticien
2019-01-01,0.008333333333333333,0.0,0.0,0.008333333333333333,0.008333333333333333,0.0,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.008333333333333333,0.0,0.1,0.008333333333333333,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.041666666666666664,0.0,0.008333333333333333,0.058333333333333334,0.008333333333333333,0.05,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.058333333333333334,0.008333333333333333,0.2,0.2833333333333333,0.008333333333333333,0.016666666666666666,0.0
2019-02-01,0.003968253968253968,0.0,0.0,0.007936507936507936,0.007936507936507936,0.0,0.06349206349206349,0.023809523809523808,0.0,0.0,0.0,0.007936507936507936,0.0,0.05952380952380952,0.007936507936507936,0.0,0.0,0.007936507936507936,0.003968253968253968,0.0,0.0,0.04365079365079365,0.003968253968253968,0.023809523809523808,0.06349206349206349,0.015873015873015872,0.03968253968253968,0.011904761904761904,0.003968253968253968,0.007936507936507936,0.0,0.003968253968253968,0.003968253968253968,0.05555555555555555,0.027777777777777776,0.14682539682539683,0.32936507936507936,0.007936507936507936,0.015873015873015872,0.0
2019-03-01,0.0032258064516129032,0.0,0.0016129032258064516,0.0032258064516129032,0.0032258064516129032,0.0,0.03387096774193549,0.0064516129032258064,0.0,0.0,0.01129032258064516,0.008064516129032258,0.0016129032258064516,0.06129032258064516,0.00967741935483871,0.0,0.0,0.0064516129032258064,0.0,0.0016129032258064516,0.0,0.035483870967741936,0.012903225806451613,0.025806451612903226,0.14838709677419354,0.0064516129032258064,0.01129032258064516,0.0064516129032258064,0.004838709677419355,0.02258064516129032,0.0,0.0064516129032258064,0.0016129032258064516,0.06935483870967742,0.03225806451612903,0.14838709677419354,0.2725806451612903,0.025806451612903226,0.017741935483870968,0.0
2019-04-01,0.005494505494505495,0.0013736263736263737,0.0013736263736263737,0.0013736263736263737,0.0013736263736263737,0.0,0.02197802197802198,0.005494505494505495,0.0,0.0,0.013736263736263736,0.005494505494505495,0.0027472527472527475,0.08241758241758242,0.006868131868131868,0.0,0.0013736263736263737,0.005494505494505495,0.0,0.0013736263736263737,0.0,0.027472527472527472,0.01098901098901099,0.023351648351648352,0.14972527472527472,0.0013736263736263737,0.008241758241758242,0.0013736263736263737,0.005494505494505495,0.020604395604395604,0.0013736263736263737,0.008241758241758242,0.0,0.08516483516483517,0.03571428571428571,0.16346153846153846,0.24587912087912087,0.03296703296703297,0.020604395604395604,0.0
2019-05-01,0.010507880910683012,0.0035026269702276708,0.0,0.0,0.0,0.0,0.03852889667250438,0.014010507880910683,0.0,0.0,0.0070052539404553416,0.0,0.0017513134851138354,0.0893169877408056,0.0070052539404553416,0.0,0.0017513134851138354,0.0035026269702276708,0.0017513134851138354,0.0,0.0,0.024518388791593695,0.02626970227670753,0.021015761821366025,0.14010507880910683,0.0017513134851138354,0.01576182136602452,0.0035026269702276708,0.0070052539404553416,0.014010507880910683,0.0017513134851138354,0.005253940455341506,0.0,0.08056042031523643,0.03852889667250438,0.15236427320490367,0.2469352014010508,0.028021015761821366,0.014010507880910683,0.0
2019-06-01,0.012622720897615708,0.001402524544179523,0.0,0.0,0.0,0.0,0.047685834502103785,0.014025245441795231,0.0,0.0,0.008415147265077139,0.002805049088359046,0.0,0.08555399719495091,0.009817671809256662,0.0,0.0,0.002805049088359046,0.001402524544179523,0.001402524544179523,0.0,0.0182328190743338,0.023842917251051893,0.016830294530154277,0.16549789621318373,0.001402524544179523,0.011220196353436185,0.002805049088359046,0.008415147265077139,0.014025245441795231,0.0,0.001402524544179523,0.0,0.06872370266479663,0.030855539971949508,0.19915848527349228,0.21739130434782608,0.023842917251051893,0.008415147265077139,0.0
2019-07-01,0.01092896174863388,0.001366120218579235,0.0,0.0,0.0,0.0,0.05191256830601093,0.01092896174863388,0.0,0.0,0.00819672131147541,0.00273224043715847,0.0,0.10109289617486339,0.00546448087431694,0.0,0.00273224043715847,0.004098360655737705,0.001366120218579235,0.001366120218579235,0.0,0.012295081967213115,0.00819672131147541,0.028688524590163935,0.15846994535519127,0.0,0.009562841530054645,0.0,0.00546448087431694,0.017759562841530054,0.001366120218579235,0.00273224043715847,0.0,0.07513661202185792,0.031420765027322405,0.20355191256830601,0.20765027322404372,0.0273224043715847,0.00819672131147541,0.0
2019-08-01,0.00505902192242833,0.003372681281618887,0.0,0.0,0.0,0.0,0.06239460370994941,0.01011804384485666,0.0,0.0,0.003372681281618887,0.003372681281618887,0.0,0.09949409780775717,0.003372681281618887,0.0,0.003372681281618887,0.006745362563237774,0.0016863406408094434,0.0,0.0,0.01517706576728499,0.008431703204047217,0.026981450252951095,0.19392917369308602,0.006745362563237774,0.008431703204047217,0.003372681281618887,0.0016863406408094434,0.02023608768971332,0.0016863406408094434,0.01011804384485666,0.0,0.06913996627318718,0.03035413153456998,0.14502529510961215,0.21922428330522767,0.03372681281618887,0.003372681281618887,0.0
2019-09-01,0.0016556291390728477,0.0016556291390728477,0.0,0.0,0.0033112582781456954,0.0,0.04966887417218543,0.004966887417218543,0.0,0.0,0.008278145695364239,0.0033112582781456954,0.0,0.10927152317880795,0.009933774834437087,0.0033112582781456954,0.0,0.009933774834437087,0.0016556291390728477,0.0016556291390728477,0.0,0.011589403973509934,0.008278145695364239,0.0033112582781456954,0.21688741721854304,0.008278145695364239,0.004966887417218543,0.008278145695364239,0.0016556291390728477,0.019867549668874173,0.0016556291390728477,0.011589403973509934,0.0016556291390728477,0.06456953642384106,0.03642384105960265,0.1357615894039735,0.2152317880794702,0.033112582781456956,0.008278145695364239,0.0
2019-10-01,0.017276422764227643,0.0010162601626016261,0.0,0.0020325203252032522,0.0020325203252032522,0.0,0.047764227642276426,0.003048780487804878,0.0,0.0,0.00508130081300813,0.0020325203252032522,0.0,0.08434959349593496,0.006097560975609756,0.003048780487804878,0.0,0.003048780487804878,0.0040650406504065045,0.0010162601626016261,0.0,0.024390243902439025,0.00508130081300813,0.029471544715447155,0.17378048780487804,0.006097560975609756,0.01016260162601626,0.008130081300813009,0.00508130081300813,0.01524390243902439,0.0040650406504065045,0.011178861788617886,0.0040650406504065045,0.05589430894308943,0.034552845528455285,0.11788617886178862,0.28252032520325204,0.022357723577235773,0.008130081300813009,0.0
