date,"A - Agriculture, sylviculture et pêche",Administration/Armée,Autres services non financiers,Consulting,H - Transports et entreposage,IT Consulting,IT producers,K - Activités financières et d'assurance,Recherche,"industrie manufacturière, énergétique et minière"
2019-01-01,0.022988505747126436,0.0,0.20689655172413793,0.04597701149425287,0.005747126436781609,0.12643678160919541,0.07471264367816093,0.028735632183908046,0.0,0.4885057471264368
2019-02-01,0.011494252873563218,0.0,0.20081669691470055,0.05456745311554749,0.0028735632183908046,0.0869026013309135,0.08472474289171204,0.019630973986690864,0.005263157894736842,0.5337265577737447
2019-03-01,0.007662835249042145,0.00194647201946472,0.20297755463413125,0.11277732884102193,0.0028889448219928966,0.10562363203082797,0.10611819842415839,0.02914571015171118,0.009348187988218723,0.4215111358394308
2019-04-01,0.005747126436781609,0.002930442249892658,0.20002728362265726,0.1338477025131194,0.008049061557671143,0.12407066519959156,0.10532394293576586,0.029212223790253976,0.007011140991164041,0.38378041070310254
2019-05-01,0.0,0.004026933477962833,0.19051805797232454,0.16511660753429303,0.006612279948475741,0.1368693645341348,0.10857560657762913,0.03080024556883837,0.009204123447304393,0.3482767809390372
2019-06-01,0.0,0.007548060238526213,0.17880567843192424,0.1821909836153407,0.007785988868663534,0.181365287439991,0.10367073877431804,0.041079464743535674,0.014788506941250527,0.2827652909464501
2019-07-01,0.0,0.009512863758174249,0.17492606639312813,0.16998303774326123,0.007626838117072028,0.19011941202753224,0.088704735374658,0.03988041798154521,0.01383360243170148,0.3054130261729274
2019-08-01,0.0,0.00804227552288013,0.18032343810777143,0.16631103702808156,0.0025043635953484445,0.21365552860182152,0.07664725280716292,0.05076455887194392,0.01687311610951303,0.284878429355477
2019-09-01,0.0,0.008025697901721402,0.17698541567588177,0.16404463939252398,0.005744104416082786,0.2140640485518045,0.10331354055677452,0.05495159233031988,0.01791987447410702,0.25495108670078415
2019-10-01,0.0,0.005041628069192394,0.22325740853529388,0.16018186374112184,0.005107452423929364,0.2055240869778495,0.09527533639445727,0.049291062736718176,0.011852139744929952,0.24446902137650764
2019-11-01,0.00026041666666666666,0.002919053868279152,0.24614553638917516,0.13644470620687524,0.006099176168221602,0.19043062236597735,0.0873379790885212,0.050946313878270685,0.010510815544016712,0.26890537982399626
2019-12-01,0.0005124327956989247,0.0044311506424727,0.24612945025327948,0.12008587200744394,0.005591313877800972,0.15883591945392714,0.10087790947385308,0.0427898769726917,0.012007592188785806,0.30873848233404627
2020-01-01,0.0008900763002306468,0.004295345796890559,0.26994138215673324,0.11414349241291724,0.007827403872776601,0.14649684615683017,0.07210808115075337,0.047013693145947694,0.011033712395241797,0.32624996661167865
2020-02-01,0.0011378463696062662,0.004006058938231806,0.24269359399029564,0.11462705655475988,0.013732368748508333,0.1217413960137037,0.08713502980513037,0.058098409751279514,0.02622938953939767,0.33059885028908687
2020-03-01,0.0012112080741011483,0.006709316058837058,0.2265999135274563,0.12698450537540962,0.021515663141031698,0.11701391214632499,0.10685750699694166,0.07096556595955722,0.037163412681364735,0.2849789960389756
2020-04-01,0.0009591919450688902,0.007555709850681245,0.237496837345675,0.14727893629446015,0.033449181603194406,0.09751515479189204,0.10794165185391062,0.08722139878568828,0.057391273302180315,0.223190664227249
2020-05-01,0.0012464420575584447,0.00860628194041577,0.2446218453806432,0.14596923648087143,0.03861164865982486,0.09163355808301502,0.11271643169578245,0.09264500230821833,0.07906158248775595,0.1848879709059146
2020-06-01,0.0009986719881828253,0.010657362445752792,0.24207408556382215,0.17453057523666696,0.0419397417985875,0.09272887266556516,0.10648857436577551,0.0961490976341926,0.0967751488958304,0.1376578694056241
2020-07-01,0.0006648936170212767,0.0075401214589545275,0.2335156049846248,0.19366087804419957,0.03703444474176573,0.10355325188522334,0.09198136878438457,0.09165227890371241,0.10196383149690655,0.13843332608320724
2020-08-01,0.0006648936170212767,0.005181630892916792,0.22411699928098766,0.21071105940255702,0.026612578580905856,0.11227176374838929,0.07778882943461252,0.07810239703622049,0.11291396626779604,0.1516358817385931
2020-09-01,0.0,0.0037850361662548765,0.22398020298657656,0.2378730771160865,0.024347486450192225,0.1066090334216052,0.09355857900195447,0.06685965042113344,0.09824813098325974,0.14473880345293696
2020-10-01,0.0,0.0025464061174116136,0.2307524529938884,0.23919944955327757,0.017121900769750002,0.11554998279424714,0.10328043563089191,0.05223006953727512,0.07570126192415062,0.1636180406791076
2020-11-01,0.0017468944099378882,0.0022406047869172564,0.2453243862926539,0.2294475933702298,0.015398794738396232,0.09885364386018715,0.10334628462088562,0.040288303488049036,0.0728290737794511,0.19052442065329203
2020-12-01,0.0033304256846805646,0.0026364876056029257,0.2268739428620046,0.21077093118604584,0.01957336858834617,0.09698838645257027,0.10348871865088893,0.037398777835261306,0.07393189020293259,0.22500707093166677
2021-01-01,0.0033304256846805646,0.003313911685282644,0.20005405222632452,0.20623157956022803,0.019363428152841825,0.09646353536380942,0.0819954562741679,0.03649432514509433,0.07996767772368252,0.27278560818388825
2021-02-01,0.004455285077256493,0.0033785505519891915,0.1735793081342215,0.21603808275496228,0.026942633423938663,0.08503819826377135,0.07635541700426748,0.04784500554668535,0.1006404275994137,0.26572709164349395
2021-03-01,0.003098710729769814,0.0043575326651480685,0.14580824782128665,0.24086371150967156,0.029689722993907777,0.09372812291502884,0.07509642267239361,0.05628567689719277,0.1175079818199615,0.23356386997563938
2021-04-01,0.0018546227679938727,0.004979979785362603,0.16050146685655814,0.24693337721041642,0.02578814059142315,0.08553310668463955,0.08816982789353164,0.07082852496365594,0.11293799441403408,0.20247295883238464
